대여소ID,evening_commute,morning_commute,non_commute
ST-10,4,4,4
ST-1000,3,3,3
ST-1002,3,3,3
ST-1003,2,2,4
ST-1004,3,3,3
ST-1005,3,3,3
ST-1006,3,3,3
ST-1007,3,3,3
ST-1008,3,3,3
ST-101,4,1,4
ST-1010,3,3,3
ST-1011,3,3,3
ST-1012,3,3,3
ST-1013,3,3,3
ST-1014,3,3,1
ST-1015,3,3,3
ST-1016,3,3,3
ST-1017,3,3,3
ST-1018,3,3,3
ST-1019,3,3,3
ST-102,4,4,4
ST-1020,2,1,2
ST-1023,2,2,2
ST-1024,2,2,2
ST-1025,4,4,4
ST-1027,2,2,2
ST-1028,2,2,2
ST-1029,4,4,4
ST-103,4,4,4
ST-1031,2,2,2
ST-1032,2,2,4
ST-1033,2,4,1
ST-1034,4,4,4
ST-1035,2,2,2
ST-1036,4,4,4
ST-1037,4,1,4
ST-1038,2,4,2
ST-1039,2,2,2
ST-104,1,2,1
ST-1040,2,1,2
ST-1041,4,1,4
ST-1042,2,1,2
ST-1043,1,2,2
ST-1044,4,1,2
ST-1045,4,1,4
ST-1046,4,1,4
ST-1047,4,4,4
ST-1048,2,1,2
ST-1049,2,1,2
ST-105,4,4,4
ST-1050,1,1,2
ST-1051,1,1,2
ST-1052,2,2,2
ST-1053,2,1,2
ST-1054,2,1,2
ST-1055,2,1,2
ST-1056,2,1,2
ST-1058,2,1,2
ST-1059,2,1,2
ST-106,3,3,3
ST-1061,2,1,2
ST-1062,3,3,3
ST-1063,3,3,3
ST-1064,3,3,3
ST-1065,3,3,3
ST-1067,3,3,3
ST-1069,3,3,3
ST-107,4,4,4
ST-1070,4,1,4
ST-1072,2,1,2
ST-1075,2,1,1
ST-1076,2,1,2
ST-1077,2,1,2
ST-1078,4,1,2
ST-1079,4,1,4
ST-108,4,4,4
ST-1081,4,1,4
ST-1082,2,2,2
ST-1083,4,1,4
ST-1084,2,1,2
ST-1085,2,1,2
ST-1086,2,1,4
ST-1087,4,1,4
ST-1088,4,1,4
ST-1089,2,1,2
ST-109,4,4,4
ST-1092,4,1,4
ST-1093,1,4,1
ST-1094,1,2,1
ST-1095,4,4,1
ST-1096,2,4,2
ST-1097,4,4,1
ST-1098,4,4,1
ST-1099,1,2,1
ST-11,4,4,4
ST-110,4,4,4
ST-1100,2,1,2
ST-1101,2,1,2
ST-1102,2,2,2
ST-1103,2,1,2
ST-1104,2,1,2
ST-1105,2,2,2
ST-1106,2,1,2
ST-1107,2,1,2
ST-1108,4,1,4
ST-1109,2,1,2
ST-111,4,4,4
ST-1110,2,1,2
ST-1111,1,2,2
ST-1114,4,2,2
ST-1118,1,2,1
ST-1119,1,2,1
ST-112,4,4,4
ST-1120,1,2,4
ST-1121,1,2,1
ST-1122,1,2,1
ST-1123,1,2,1
ST-1124,1,2,1
ST-1125,1,2,2
ST-1127,1,2,4
ST-1128,1,2,1
ST-1129,2,2,2
ST-113,2,1,2
ST-1130,2,1,2
ST-1131,2,1,2
ST-1132,1,2,2
ST-1133,2,1,1
ST-1135,2,2,2
ST-1136,2,2,4
ST-1137,3,3,3
ST-114,4,4,4
ST-1140,1,3,1
ST-1141,1,3,1
ST-1142,1,3,1
ST-1143,1,3,1
ST-1144,1,3,3
ST-1146,1,2,1
ST-1147,1,3,1
ST-1148,1,3,1
ST-1149,1,3,1
ST-1150,4,4,4
ST-1151,1,4,3
ST-1152,2,1,4
ST-1153,2,1,2
ST-1154,2,1,4
ST-1156,1,4,4
ST-1157,2,1,4
ST-1158,2,1,2
ST-116,1,2,1
ST-1160,4,3,1
ST-1161,4,1,2
ST-1162,2,1,2
ST-1163,2,1,4
ST-1164,2,1,2
ST-1165,2,1,2
ST-1166,2,1,2
ST-1167,2,1,2
ST-1168,2,1,2
ST-1169,4,1,4
ST-117,1,2,1
ST-1170,2,1,4
ST-1171,4,1,2
ST-1172,4,1,2
ST-1173,4,1,2
ST-1174,4,1,2
ST-1177,2,1,2
ST-1178,4,1,2
ST-1179,2,1,2
ST-118,1,2,1
ST-1180,4,1,2
ST-1181,2,1,2
ST-1182,2,1,2
ST-1184,2,1,2
ST-1185,2,1,2
ST-1186,2,1,2
ST-1188,4,4,1
ST-1189,4,4,4
ST-119,1,2,1
ST-1190,4,4,4
ST-1191,4,4,4
ST-1192,4,4,4
ST-1193,4,4,4
ST-1194,4,4,4
ST-1195,4,4,4
ST-1197,1,2,1
ST-1198,1,2,1
ST-1199,4,4,4
ST-12,4,4,4
ST-120,3,3,3
ST-1200,1,2,1
ST-1201,1,2,1
ST-1202,1,2,1
ST-1203,2,2,2
ST-1204,2,2,2
ST-1206,1,2,1
ST-1207,1,2,1
ST-1208,1,2,1
ST-121,1,2,1
ST-1210,4,2,1
ST-1211,4,2,1
ST-1212,4,2,1
ST-1213,1,1,2
ST-1215,1,2,1
ST-1216,1,2,1
ST-1217,1,2,2
ST-1218,3,3,3
ST-1219,3,3,1
ST-122,4,3,3
ST-1220,3,3,3
ST-1221,3,3,3
ST-1222,3,3,3
ST-1223,3,3,3
ST-1224,1,3,3
ST-1226,3,3,1
ST-1227,3,3,1
ST-1228,3,3,3
ST-1229,3,3,1
ST-123,1,2,1
ST-1230,2,2,1
ST-1231,3,3,1
ST-1233,1,2,1
ST-1235,1,3,1
ST-1236,3,3,3
ST-1237,3,3,3
ST-1238,3,3,3
ST-1239,1,3,1
ST-124,1,2,1
ST-1241,1,3,1
ST-1243,1,3,1
ST-1245,2,1,2
ST-1246,2,1,2
ST-1247,2,1,2
ST-1248,2,1,2
ST-1249,3,3,3
ST-125,1,2,1
ST-1250,3,3,3
ST-1251,3,3,3
ST-1252,3,3,3
ST-1253,3,3,3
ST-1254,3,3,3
ST-1259,1,4,4
ST-126,1,2,1
ST-1260,1,3,4
ST-1262,2,4,4
ST-1263,4,4,4
ST-1264,1,4,4
ST-1265,1,3,3
ST-1266,4,4,4
ST-1267,1,4,3
ST-1268,1,4,3
ST-1269,1,4,4
ST-127,1,2,1
ST-1270,1,4,3
ST-1271,4,4,4
ST-1273,3,3,3
ST-1274,3,3,3
ST-1275,3,3,3
ST-1276,1,3,3
ST-1277,1,3,1
ST-1278,1,2,1
ST-1279,1,2,2
ST-128,1,3,1
ST-1280,2,2,2
ST-1281,1,2,1
ST-1282,1,2,1
ST-1283,1,2,4
ST-1284,1,2,4
ST-1285,1,2,1
ST-1286,1,2,4
ST-1287,1,2,4
ST-1288,1,2,2
ST-1289,2,2,2
ST-1290,3,4,3
ST-1291,1,2,1
ST-1292,1,2,2
ST-1293,2,1,4
ST-1295,2,2,2
ST-1296,2,2,2
ST-1297,2,2,4
ST-1298,3,3,3
ST-1299,4,2,1
ST-13,4,1,4
ST-130,1,2,1
ST-1300,4,2,1
ST-1302,4,2,1
ST-1303,4,1,4
ST-1305,2,1,2
ST-1306,2,1,2
ST-1307,2,1,4
ST-1308,2,1,2
ST-1309,2,1,4
ST-131,1,1,4
ST-1310,1,2,1
ST-1311,2,1,2
ST-1312,2,1,1
ST-1313,2,1,2
ST-1314,2,1,2
ST-1315,2,1,2
ST-1316,4,1,4
ST-1317,1,2,1
ST-1319,4,4,4
ST-132,1,2,1
ST-1320,3,3,3
ST-1321,3,4,3
ST-1322,2,3,4
ST-1323,3,4,3
ST-1324,4,4,1
ST-1325,4,4,4
ST-1326,4,4,4
ST-1327,4,4,4
